# This table contains site-level occupancy values (IPOD-HR robust z-scores) for all IPOD-HR detectable,,,,,
#   TFBSs annotated in RegulonDB (downloaded May 2018),,,,,
# Column definitions:,,,,,
#   condition: The physiological condition under study,,,,,
#   startloc/endloc: 1-indexed start and end location of the site (open right interval),,,,,
#   occupancy: The robust z-score of peak occupancy in the site under the specified condition,,,,,
#   regulator: TF annotated to bind the site,,,,,
#   target: Regulatory target of binding, if known,,,,
condition,startloc,endloc,occupancy,regulator,target
purr,636706,636719,3.612212,FNR,ybdN
stat,636706,636719,3.224351,FNR,ybdN
argr,636706,636719,1.702111,FNR,ybdN
rdmglu,636706,636719,4.095176,FNR,ybdN
min,636843,636884,3.942248,CysB,ybdN
lexa,636843,636884,3.780588,CysB,ybdN
purr,636843,636884,5.326975,CysB,ybdN
stat,636843,636884,3.913376,CysB,ybdN
argr,636843,636884,2.836739,CysB,ybdN
rdmglu,636843,636884,4.215171,CysB,ybdN
min,636983,636996,4.427951,FNR,ybdN
lexa,636983,636996,6.03647,FNR,ybdN
purr,636983,636996,4.212222,FNR,ybdN
stat,636983,636996,4.419884,FNR,ybdN
argr,636983,636996,4.388842,FNR,ybdN
rdmglu,636983,636996,4.825119,FNR,ybdN
min,638869,638885,3.201222,OxyR,ahpCF
lexa,638869,638885,0.715709,OxyR,ahpCF
purr,638869,638885,1.571967,OxyR,ahpCF
stat,638869,638885,-0.872177,OxyR,ahpCF
argr,638869,638885,3.805571,OxyR,ahpCF
rdmglu,638869,638885,0.934405,OxyR,ahpCF
min,638869,638885,3.201222,OxyR,dsbG
lexa,638869,638885,0.715709,OxyR,dsbG
purr,638869,638885,1.571967,OxyR,dsbG
stat,638869,638885,-0.872177,OxyR,dsbG
argr,638869,638885,3.805571,OxyR,dsbG
rdmglu,638869,638885,0.934405,OxyR,dsbG
min,638930,638945,3.359179,MetJ,ahpCF
lexa,638930,638945,-0.907187,MetJ,ahpCF
purr,638930,638945,2.059334,MetJ,ahpCF
stat,638930,638945,1.981295,MetJ,ahpCF
argr,638930,638945,4.036384,MetJ,ahpCF
rdmglu,638930,638945,0.548072,MetJ,ahpCF
min,638940,638955,2.742325,MetJ,ahpCF
lexa,638940,638955,-0.907187,MetJ,ahpCF
purr,638940,638955,2.094889,MetJ,ahpCF
stat,638940,638955,2.861045,MetJ,ahpCF
argr,638940,638955,3.413984,MetJ,ahpCF
rdmglu,638940,638955,0.438735,MetJ,ahpCF
min,651884,651893,2.746779,ArcA,citCDEFXG
lexa,651884,651893,3.98707,ArcA,citCDEFXG
purr,651884,651893,4.026874,ArcA,citCDEFXG
stat,651884,651893,2.821865,ArcA,citCDEFXG
argr,651884,651893,1.712216,ArcA,citCDEFXG
rdmglu,651884,651893,4.020913,ArcA,citCDEFXG
min,651884,651893,2.746779,ArcA,dpiBA
lexa,651884,651893,3.98707,ArcA,dpiBA
purr,651884,651893,4.026874,ArcA,dpiBA
stat,651884,651893,2.821865,ArcA,dpiBA
argr,651884,651893,1.712216,ArcA,dpiBA
rdmglu,651884,651893,4.020913,ArcA,dpiBA
min,652000,652006,3.288829,NarL,dpiBA
lexa,652000,652006,2.683324,NarL,dpiBA
purr,652000,652006,3.216619,NarL,dpiBA
stat,652000,652006,2.603709,NarL,dpiBA
argr,652000,652006,0.860386,NarL,dpiBA
rdmglu,652000,652006,3.63172,NarL,dpiBA
min,652000,652006,3.288829,NarL,citCDEFXG
lexa,652000,652006,2.683324,NarL,citCDEFXG
purr,652000,652006,3.216619,NarL,citCDEFXG
stat,652000,652006,2.603709,NarL,citCDEFXG
argr,652000,652006,0.860386,NarL,citCDEFXG
rdmglu,652000,652006,3.63172,NarL,citCDEFXG
min,652018,652039,3.616572,CRP,dpiBA
lexa,652018,652039,3.652555,CRP,dpiBA
purr,652018,652039,2.961597,CRP,dpiBA
stat,652018,652039,2.186963,CRP,dpiBA
argr,652018,652039,-0.091282,CRP,dpiBA
rdmglu,652018,652039,4.400906,CRP,dpiBA
min,652018,652039,3.616572,CRP,citCDEFXG
lexa,652018,652039,3.652555,CRP,citCDEFXG
purr,652018,652039,2.961597,CRP,citCDEFXG
stat,652018,652039,2.186963,CRP,citCDEFXG
argr,652018,652039,-0.091282,CRP,citCDEFXG
rdmglu,652018,652039,4.400906,CRP,citCDEFXG
min,652022,652035,3.616572,FNR,dpiBA
lexa,652022,652035,3.142653,FNR,dpiBA
purr,652022,652035,2.961597,FNR,dpiBA
stat,652022,652035,2.186963,FNR,dpiBA
argr,652022,652035,-0.207973,FNR,dpiBA
rdmglu,652022,652035,4.400906,FNR,dpiBA
min,652022,652035,3.616572,FNR,citCDEFXG
lexa,652022,652035,3.142653,FNR,citCDEFXG
purr,652022,652035,2.961597,FNR,citCDEFXG
stat,652022,652035,2.186963,FNR,citCDEFXG
argr,652022,652035,-0.207973,FNR,citCDEFXG
rdmglu,652022,652035,4.400906,FNR,citCDEFXG
min,652049,652071,3.008312,DpiA,dpiBA
lexa,652049,652071,4.747812,DpiA,dpiBA
purr,652049,652071,2.823271,DpiA,dpiBA
stat,652049,652071,2.193439,DpiA,dpiBA
argr,652049,652071,-1.306758,DpiA,dpiBA
rdmglu,652049,652071,4.57868,DpiA,dpiBA
min,652049,652071,3.008312,DpiA,citCDEFXG
lexa,652049,652071,4.747812,DpiA,citCDEFXG
purr,652049,652071,2.823271,DpiA,citCDEFXG
stat,652049,652071,2.193439,DpiA,citCDEFXG
argr,652049,652071,-1.306758,DpiA,citCDEFXG
rdmglu,652049,652071,4.57868,DpiA,citCDEFXG
min,652049,652071,3.008312,DpiA,citCDEFXG
lexa,652049,652071,4.747812,DpiA,citCDEFXG
purr,652049,652071,2.823271,DpiA,citCDEFXG
stat,652049,652071,2.193439,DpiA,citCDEFXG
argr,652049,652071,-1.306758,DpiA,citCDEFXG
rdmglu,652049,652071,4.57868,DpiA,citCDEFXG
min,652066,652082,3.008312,DcuR,dpiBA
lexa,652066,652082,3.671951,DcuR,dpiBA
purr,652066,652082,2.217156,DcuR,dpiBA
stat,652066,652082,-0.470164,DcuR,dpiBA
argr,652066,652082,-2.592337,DcuR,dpiBA
rdmglu,652066,652082,4.599349,DcuR,dpiBA
min,652076,652098,2.37236,DpiA,citCDEFXG
lexa,652076,652098,3.217094,DpiA,citCDEFXG
purr,652076,652098,2.519415,DpiA,citCDEFXG
stat,652076,652098,1.337843,DpiA,citCDEFXG
argr,652076,652098,-2.62465,DpiA,citCDEFXG
rdmglu,652076,652098,4.950124,DpiA,citCDEFXG
min,652076,652098,2.37236,DpiA,dpiBA
lexa,652076,652098,3.217094,DpiA,dpiBA
purr,652076,652098,2.519415,DpiA,dpiBA
stat,652076,652098,1.337843,DpiA,dpiBA
argr,652076,652098,-2.62465,DpiA,dpiBA
rdmglu,652076,652098,4.950124,DpiA,dpiBA
min,652076,652098,2.37236,DpiA,citCDEFXG
lexa,652076,652098,3.217094,DpiA,citCDEFXG
purr,652076,652098,2.519415,DpiA,citCDEFXG
stat,652076,652098,1.337843,DpiA,citCDEFXG
argr,652076,652098,-2.62465,DpiA,citCDEFXG
rdmglu,652076,652098,4.950124,DpiA,citCDEFXG
min,652118,652140,3.059884,DpiA,citCDEFXG
lexa,652118,652140,4.783411,DpiA,citCDEFXG
purr,652118,652140,2.57174,DpiA,citCDEFXG
stat,652118,652140,2.181152,DpiA,citCDEFXG
argr,652118,652140,-2.768005,DpiA,citCDEFXG
rdmglu,652118,652140,5.394673,DpiA,citCDEFXG
min,652118,652140,3.059884,DpiA,citCDEFXG
lexa,652118,652140,4.783411,DpiA,citCDEFXG
purr,652118,652140,2.57174,DpiA,citCDEFXG
stat,652118,652140,2.181152,DpiA,citCDEFXG
argr,652118,652140,-2.768005,DpiA,citCDEFXG
rdmglu,652118,652140,5.394673,DpiA,citCDEFXG
min,652118,652140,3.059884,DpiA,dpiBA
lexa,652118,652140,4.783411,DpiA,dpiBA
purr,652118,652140,2.57174,DpiA,dpiBA
stat,652118,652140,2.181152,DpiA,dpiBA
argr,652118,652140,-2.768005,DpiA,dpiBA
rdmglu,652118,652140,5.394673,DpiA,dpiBA
min,652127,652143,3.106521,DcuR,dpiBA
lexa,652127,652143,4.783411,DcuR,dpiBA
purr,652127,652143,2.754284,DcuR,dpiBA
stat,652127,652143,2.181152,DcuR,dpiBA
argr,652127,652143,-2.626219,DcuR,dpiBA
rdmglu,652127,652143,5.672193,DcuR,dpiBA
min,652193,652199,2.229464,NarL,dpiBA
lexa,652193,652199,1.610009,NarL,dpiBA
purr,652193,652199,2.072338,NarL,dpiBA
stat,652193,652199,1.672754,NarL,dpiBA
argr,652193,652199,0.235178,NarL,dpiBA
rdmglu,652193,652199,2.831834,NarL,dpiBA
min,656110,656123,4.748293,FNR,dcuC
lexa,656110,656123,4.097235,FNR,dcuC
purr,656110,656123,4.946829,FNR,dcuC
stat,656110,656123,5.192741,FNR,dcuC
argr,656110,656123,3.726552,FNR,dcuC
rdmglu,656110,656123,4.447872,FNR,dcuC
min,656140,656153,5.851639,FNR,dcuC
lexa,656140,656153,3.339543,FNR,dcuC
purr,656140,656153,4.75439,FNR,dcuC
stat,656140,656153,4.893638,FNR,dcuC
argr,656140,656153,4.629144,FNR,dcuC
rdmglu,656140,656153,3.933978,FNR,dcuC
min,656192,656205,5.998211,FNR,dcuC
lexa,656192,656205,3.215286,FNR,dcuC
purr,656192,656205,3.751145,FNR,dcuC
stat,656192,656205,3.66055,FNR,dcuC
argr,656192,656205,0.729138,FNR,dcuC
rdmglu,656192,656205,3.401911,FNR,dcuC
min,656416,656430,4.219815,ArcA,dcuC
lexa,656416,656430,2.373503,ArcA,dcuC
purr,656416,656430,4.504027,ArcA,dcuC
stat,656416,656430,0.782277,ArcA,dcuC
argr,656416,656430,3.970487,ArcA,dcuC
rdmglu,656416,656430,4.395746,ArcA,dcuC
min,656486,656502,2.752286,PhoP,pagP
lexa,656486,656502,2.323313,PhoP,pagP
purr,656486,656502,4.618615,PhoP,pagP
stat,656486,656502,-1.010361,PhoP,pagP
argr,656486,656502,1.592433,PhoP,pagP
rdmglu,656486,656502,2.914003,PhoP,pagP
min,657178,657199,1.456997,CRP,cspE
lexa,657178,657199,0.487377,CRP,cspE
purr,657178,657199,2.057724,CRP,cspE
stat,657178,657199,-0.721272,CRP,cspE
argr,657178,657199,1.963179,CRP,cspE
rdmglu,657178,657199,1.383015,CRP,cspE
min,687935,687952,1.311011,FlhDC,gltI-sroC-gltJKL
lexa,687935,687952,-1.044865,FlhDC,gltI-sroC-gltJKL
purr,687935,687952,2.659971,FlhDC,gltI-sroC-gltJKL
stat,687935,687952,2.769896,FlhDC,gltI-sroC-gltJKL
argr,687935,687952,2.467077,FlhDC,gltI-sroC-gltJKL
rdmglu,687935,687952,4.29859,FlhDC,gltI-sroC-gltJKL
min,687950,687966,1.920418,FlhDC,gltI-sroC-gltJKL
lexa,687950,687966,-1.338354,FlhDC,gltI-sroC-gltJKL
purr,687950,687966,2.659971,FlhDC,gltI-sroC-gltJKL
stat,687950,687966,-1.234726,FlhDC,gltI-sroC-gltJKL
argr,687950,687966,-1.174762,FlhDC,gltI-sroC-gltJKL
rdmglu,687950,687966,4.950346,FlhDC,gltI-sroC-gltJKL
min,703768,703789,0.436068,CRP,nagE
lexa,703768,703789,2.514669,CRP,nagE
purr,703768,703789,2.270326,CRP,nagE
stat,703768,703789,-0.837918,CRP,nagE
argr,703768,703789,-1.128931,CRP,nagE
rdmglu,703768,703789,0.563779,CRP,nagE
min,703768,703789,0.436068,CRP,nagBAC-umpH
lexa,703768,703789,2.514669,CRP,nagBAC-umpH
purr,703768,703789,2.270326,CRP,nagBAC-umpH
stat,703768,703789,-0.837918,CRP,nagBAC-umpH
argr,703768,703789,-1.128931,CRP,nagBAC-umpH
rdmglu,703768,703789,0.563779,CRP,nagBAC-umpH
min,703798,703820,0.604296,NagC,nagBAC-umpH
lexa,703798,703820,3.20229,NagC,nagBAC-umpH
purr,703798,703820,1.997119,NagC,nagBAC-umpH
stat,703798,703820,0.827893,NagC,nagBAC-umpH
argr,703798,703820,-0.20477,NagC,nagBAC-umpH
rdmglu,703798,703820,0.842418,NagC,nagBAC-umpH
min,703798,703820,0.604296,NagC,nagE
lexa,703798,703820,3.20229,NagC,nagE
purr,703798,703820,1.997119,NagC,nagE
stat,703798,703820,0.827893,NagC,nagE
argr,703798,703820,-0.20477,NagC,nagE
rdmglu,703798,703820,0.842418,NagC,nagE
min,703802,703823,0.494171,CRP,nagBAC-umpH
lexa,703802,703823,3.20229,CRP,nagBAC-umpH
purr,703802,703823,1.997119,CRP,nagBAC-umpH
stat,703802,703823,0.827893,CRP,nagBAC-umpH
argr,703802,703823,-0.093899,CRP,nagBAC-umpH
rdmglu,703802,703823,0.842418,CRP,nagBAC-umpH
min,703802,703823,0.494171,CRP,nagE
lexa,703802,703823,3.20229,CRP,nagE
purr,703802,703823,1.997119,CRP,nagE
stat,703802,703823,0.827893,CRP,nagE
argr,703802,703823,-0.093899,CRP,nagE
rdmglu,703802,703823,0.842418,CRP,nagE
min,707980,708003,1.816542,NagC,chiP-ybfN
lexa,707980,708003,3.038313,NagC,chiP-ybfN
purr,707980,708003,2.591747,NagC,chiP-ybfN
stat,707980,708003,0.384663,NagC,chiP-ybfN
argr,707980,708003,-0.453546,NagC,chiP-ybfN
rdmglu,707980,708003,2.287875,NagC,chiP-ybfN
min,708158,708173,3.62224,CRP,chiP-ybfN
lexa,708158,708173,2.553116,CRP,chiP-ybfN
purr,708158,708173,1.909785,CRP,chiP-ybfN
stat,708158,708173,4.084525,CRP,chiP-ybfN
argr,708158,708173,1.71263,CRP,chiP-ybfN
rdmglu,708158,708173,2.693229,CRP,chiP-ybfN
min,708203,708225,2.041582,NagC,chiP-ybfN
lexa,708203,708225,1.775468,NagC,chiP-ybfN
purr,708203,708225,1.132001,NagC,chiP-ybfN
stat,708203,708225,0.216371,NagC,chiP-ybfN
argr,708203,708225,-1.038275,NagC,chiP-ybfN
rdmglu,708203,708225,0.623522,NagC,chiP-ybfN
min,710861,710877,2.326703,OxyR,uof-fur
lexa,710861,710877,2.4351,OxyR,uof-fur
purr,710861,710877,2.90186,OxyR,uof-fur
stat,710861,710877,2.561279,OxyR,uof-fur
argr,710861,710877,3.705481,OxyR,uof-fur
rdmglu,710861,710877,2.59128,OxyR,uof-fur
min,710881,710900,1.815738,SoxS,uof-fur
lexa,710881,710900,3.322826,SoxS,uof-fur
purr,710881,710900,2.900475,SoxS,uof-fur
stat,710881,710900,2.652368,SoxS,uof-fur
argr,710881,710900,3.463664,SoxS,uof-fur
rdmglu,710881,710900,2.567582,SoxS,uof-fur
min,710883,710899,1.597119,OxyR,uof-fur
lexa,710883,710899,3.322826,OxyR,uof-fur
purr,710883,710899,2.341503,OxyR,uof-fur
stat,710883,710899,2.29026,OxyR,uof-fur
argr,710883,710899,1.034849,OxyR,uof-fur
rdmglu,710883,710899,2.329595,OxyR,uof-fur
min,754740,754754,1.442318,ArcA,sdhCDAB-sucABCD
lexa,754740,754754,0.66835,ArcA,sdhCDAB-sucABCD
purr,754740,754754,1.215226,ArcA,sdhCDAB-sucABCD
stat,754740,754754,5.068631,ArcA,sdhCDAB-sucABCD
argr,754740,754754,1.297327,ArcA,sdhCDAB-sucABCD
rdmglu,754740,754754,0.795829,ArcA,sdhCDAB-sucABCD
min,754807,754821,1.100726,ArcA,gltA
lexa,754807,754821,2.192404,ArcA,gltA
purr,754807,754821,2.081768,ArcA,gltA
stat,754807,754821,8.423996,ArcA,gltA
argr,754807,754821,2.294021,ArcA,gltA
rdmglu,754807,754821,2.219704,ArcA,gltA
min,754814,754828,1.100726,ArcA,sdhCDAB-sucABCD
lexa,754814,754828,2.027774,ArcA,sdhCDAB-sucABCD
purr,754814,754828,2.077693,ArcA,sdhCDAB-sucABCD
stat,754814,754828,8.423996,ArcA,sdhCDAB-sucABCD
argr,754814,754828,2.285171,ArcA,sdhCDAB-sucABCD
rdmglu,754814,754828,2.219704,ArcA,sdhCDAB-sucABCD
min,754831,754843,-0.253356,IHF,gltA
lexa,754831,754843,0.958776,IHF,gltA
purr,754831,754843,1.080196,IHF,gltA
stat,754831,754843,6.737623,IHF,gltA
argr,754831,754843,-0.472807,IHF,gltA
rdmglu,754831,754843,1.230603,IHF,gltA
min,754864,754885,-1.758814,CRP,sdhCDAB-sucABCD
lexa,754864,754885,-0.810328,CRP,sdhCDAB-sucABCD
purr,754864,754885,-0.893379,CRP,sdhCDAB-sucABCD
stat,754864,754885,3.692304,CRP,sdhCDAB-sucABCD
argr,754864,754885,-2.743213,CRP,sdhCDAB-sucABCD
rdmglu,754864,754885,-1.631727,CRP,sdhCDAB-sucABCD
min,754864,754885,-1.758814,CRP,gltA
lexa,754864,754885,-0.810328,CRP,gltA
purr,754864,754885,-0.893379,CRP,gltA
stat,754864,754885,3.692304,CRP,gltA
argr,754864,754885,-2.743213,CRP,gltA
rdmglu,754864,754885,-1.631727,CRP,gltA
min,754915,754933,0.588828,Fur,sdhCDAB-sucABCD
lexa,754915,754933,-0.114876,Fur,sdhCDAB-sucABCD
purr,754915,754933,1.092633,Fur,sdhCDAB-sucABCD
stat,754915,754933,3.704054,Fur,sdhCDAB-sucABCD
argr,754915,754933,0.361305,Fur,sdhCDAB-sucABCD
rdmglu,754915,754933,0.68539,Fur,sdhCDAB-sucABCD
min,754919,754933,0.272266,ArcA,sdhCDAB-sucABCD
lexa,754919,754933,-0.262158,ArcA,sdhCDAB-sucABCD
purr,754919,754933,0.697003,ArcA,sdhCDAB-sucABCD
stat,754919,754933,3.416575,ArcA,sdhCDAB-sucABCD
argr,754919,754933,-0.114592,ArcA,sdhCDAB-sucABCD
rdmglu,754919,754933,0.492742,ArcA,sdhCDAB-sucABCD
min,754924,754938,-0.117926,ArcA,sdhCDAB-sucABCD
lexa,754924,754938,-0.845366,ArcA,sdhCDAB-sucABCD
purr,754924,754938,0.084502,ArcA,sdhCDAB-sucABCD
stat,754924,754938,2.241934,ArcA,sdhCDAB-sucABCD
argr,754924,754938,-0.462307,ArcA,sdhCDAB-sucABCD
rdmglu,754924,754938,-0.520701,ArcA,sdhCDAB-sucABCD
min,755207,755221,5.231834,ArcA,sdhCDAB-sucABCD
lexa,755207,755221,3.658957,ArcA,sdhCDAB-sucABCD
purr,755207,755221,4.886587,ArcA,sdhCDAB-sucABCD
stat,755207,755221,5.16467,ArcA,sdhCDAB-sucABCD
argr,755207,755221,5.604883,ArcA,sdhCDAB-sucABCD
rdmglu,755207,755221,4.325996,ArcA,sdhCDAB-sucABCD
min,765890,765911,-0.786647,MngR,mngR
lexa,765890,765911,0.33692,MngR,mngR
purr,765890,765911,-1.323097,MngR,mngR
stat,765890,765911,4.390716,MngR,mngR
argr,765890,765911,-1.021222,MngR,mngR
rdmglu,765890,765911,0.022828,MngR,mngR
min,765890,765911,-0.786647,MngR,mngAB
lexa,765890,765911,0.33692,MngR,mngAB
purr,765890,765911,-1.323097,MngR,mngAB
stat,765890,765911,4.390716,MngR,mngAB
argr,765890,765911,-1.021222,MngR,mngAB
rdmglu,765890,765911,0.022828,MngR,mngAB
min,765934,765955,1.543854,MngR,mngR
lexa,765934,765955,4.04376,MngR,mngR
purr,765934,765955,1.221175,MngR,mngR
stat,765934,765955,0.868918,MngR,mngR
argr,765934,765955,-0.747777,MngR,mngR
rdmglu,765934,765955,2.01308,MngR,mngR
min,765934,765955,1.543854,MngR,mngAB
lexa,765934,765955,4.04376,MngR,mngAB
purr,765934,765955,1.221175,MngR,mngAB
stat,765934,765955,0.868918,MngR,mngAB
argr,765934,765955,-0.747777,MngR,mngAB
rdmglu,765934,765955,2.01308,MngR,mngAB
min,770848,770862,3.406929,ArcA,cydAB
lexa,770848,770862,3.785863,ArcA,cydAB
purr,770848,770862,-0.705834,ArcA,cydAB
stat,770848,770862,0.928199,ArcA,cydAB
argr,770848,770862,-2.537445,ArcA,cydAB
rdmglu,770848,770862,0.411991,ArcA,cydAB
min,770859,770873,5.252982,ArcA,cydAB
lexa,770859,770873,5.509365,ArcA,cydAB
purr,770859,770873,-0.175324,ArcA,cydAB
stat,770859,770873,1.720242,ArcA,cydAB
argr,770859,770873,-2.396946,ArcA,cydAB
rdmglu,770859,770873,1.095719,ArcA,cydAB
min,770870,770884,5.252982,ArcA,cydAB
lexa,770870,770884,5.509365,ArcA,cydAB
purr,770870,770884,0.335201,ArcA,cydAB
stat,770870,770884,1.720242,ArcA,cydAB
argr,770870,770884,-2.076753,ArcA,cydAB
rdmglu,770870,770884,1.315872,ArcA,cydAB
min,771079,771093,5.595463,ArcA,cydAB
lexa,771079,771093,4.769627,ArcA,cydAB
purr,771079,771093,3.799915,ArcA,cydAB
stat,771079,771093,4.188774,ArcA,cydAB
argr,771079,771093,4.761595,ArcA,cydAB
rdmglu,771079,771093,2.796918,ArcA,cydAB
min,771110,771123,4.224527,FNR,cydAB
lexa,771110,771123,2.989463,FNR,cydAB
purr,771110,771123,1.783723,FNR,cydAB
stat,771110,771123,1.600078,FNR,cydAB
argr,771110,771123,0.702346,FNR,cydAB
rdmglu,771110,771123,0.982916,FNR,cydAB
min,771110,771123,4.224527,FNR,cydAB
lexa,771110,771123,2.989463,FNR,cydAB
purr,771110,771123,1.783723,FNR,cydAB
stat,771110,771123,1.600078,FNR,cydAB
argr,771110,771123,0.702346,FNR,cydAB
rdmglu,771110,771123,0.982916,FNR,cydAB
min,771110,771123,4.224527,FNR,cydAB
lexa,771110,771123,2.989463,FNR,cydAB
purr,771110,771123,1.783723,FNR,cydAB
stat,771110,771123,1.600078,FNR,cydAB
argr,771110,771123,0.702346,FNR,cydAB
rdmglu,771110,771123,0.982916,FNR,cydAB
min,771110,771123,4.224527,FNR,cydAB
lexa,771110,771123,2.989463,FNR,cydAB
purr,771110,771123,1.783723,FNR,cydAB
stat,771110,771123,1.600078,FNR,cydAB
argr,771110,771123,0.702346,FNR,cydAB
rdmglu,771110,771123,0.982916,FNR,cydAB
min,785544,785561,0.042417,TyrR,aroG
lexa,785544,785561,2.157884,TyrR,aroG
purr,785544,785561,1.755483,TyrR,aroG
stat,785544,785561,-0.575918,TyrR,aroG
argr,785544,785561,1.752569,TyrR,aroG
rdmglu,785544,785561,2.184696,TyrR,aroG
min,787618,787636,1.587605,Fur,gpmA
lexa,787618,787636,1.154081,Fur,gpmA
purr,787618,787636,0.214911,Fur,gpmA
stat,787618,787636,3.907459,Fur,gpmA
argr,787618,787636,-1.044808,Fur,gpmA
rdmglu,787618,787636,0.380556,Fur,gpmA
min,787621,787639,1.587605,Fur,gpmA
lexa,787621,787639,1.154081,Fur,gpmA
purr,787621,787639,0.214911,Fur,gpmA
stat,787621,787639,3.907459,Fur,gpmA
argr,787621,787639,-1.044808,Fur,gpmA
rdmglu,787621,787639,0.380556,Fur,gpmA
min,809262,809301,0.258743,BirA,bioA
lexa,809262,809301,-0.274121,BirA,bioA
purr,809262,809301,1.520024,BirA,bioA
stat,809262,809301,4.342605,BirA,bioA
argr,809262,809301,0.347878,BirA,bioA
rdmglu,809262,809301,0.84699,BirA,bioA
min,809262,809301,0.258743,BirA,bioBFCD
lexa,809262,809301,-0.274121,BirA,bioBFCD
purr,809262,809301,1.520024,BirA,bioBFCD
stat,809262,809301,4.342605,BirA,bioBFCD
argr,809262,809301,0.347878,BirA,bioBFCD
rdmglu,809262,809301,0.84699,BirA,bioBFCD
min,816781,816794,-1.091908,FNR,moaABCDE
lexa,816781,816794,-1.640821,FNR,moaABCDE
purr,816781,816794,-0.402458,FNR,moaABCDE
stat,816781,816794,2.839438,FNR,moaABCDE
argr,816781,816794,-1.299831,FNR,moaABCDE
rdmglu,816781,816794,-0.729418,FNR,moaABCDE
min,816845,816868,0.397909,ModE,moaABCDE
lexa,816845,816868,0.185509,ModE,moaABCDE
purr,816845,816868,1.797107,ModE,moaABCDE
stat,816845,816868,5.577844,ModE,moaABCDE
argr,816845,816868,1.612693,ModE,moaABCDE
rdmglu,816845,816868,1.071899,ModE,moaABCDE
min,819852,819866,-0.647444,YjjQ,ybhL
lexa,819852,819866,-0.639765,YjjQ,ybhL
purr,819852,819866,0.603581,YjjQ,ybhL
stat,819852,819866,-1.338254,YjjQ,ybhL
argr,819852,819866,2.059271,YjjQ,ybhL
rdmglu,819852,819866,0.494712,YjjQ,ybhL
min,833036,833055,0.468147,LexA,dinG
lexa,833036,833055,-0.479422,LexA,dinG
purr,833036,833055,2.276439,LexA,dinG
stat,833036,833055,0.148777,LexA,dinG
argr,833036,833055,1.921334,LexA,dinG
rdmglu,833036,833055,1.994979,LexA,dinG
min,841628,841646,3.090688,Fur,fiu
lexa,841628,841646,5.461056,Fur,fiu
purr,841628,841646,2.392363,Fur,fiu
stat,841628,841646,3.671792,Fur,fiu
argr,841628,841646,2.808018,Fur,fiu
rdmglu,841628,841646,2.938071,Fur,fiu
min,841637,841655,3.769182,Fur,fiu
lexa,841637,841655,5.664875,Fur,fiu
purr,841637,841655,3.001332,Fur,fiu
stat,841637,841655,3.671792,Fur,fiu
argr,841637,841655,2.814682,Fur,fiu
rdmglu,841637,841655,3.244032,Fur,fiu
min,841638,841656,3.769182,Fur,fiu
lexa,841638,841656,5.664875,Fur,fiu
purr,841638,841656,3.001332,Fur,fiu
stat,841638,841656,3.671792,Fur,fiu
argr,841638,841656,2.814682,Fur,fiu
rdmglu,841638,841656,3.244032,Fur,fiu
min,841645,841663,3.769182,Fur,fiu
lexa,841645,841663,5.664875,Fur,fiu
purr,841645,841663,3.001332,Fur,fiu
stat,841645,841663,3.661943,Fur,fiu
argr,841645,841663,2.814682,Fur,fiu
rdmglu,841645,841663,3.244032,Fur,fiu
min,841796,841817,0.967301,CRP,fiu
lexa,841796,841817,2.109046,CRP,fiu
purr,841796,841817,-0.004612,CRP,fiu
stat,841796,841817,1.084394,CRP,fiu
argr,841796,841817,0.994269,CRP,fiu
rdmglu,841796,841817,0.551327,CRP,fiu
min,848088,848100,0.628361,IHF,glnHPQ
lexa,848088,848100,1.893311,IHF,glnHPQ
purr,848088,848100,3.018486,IHF,glnHPQ
stat,848088,848100,0.295519,IHF,glnHPQ
argr,848088,848100,1.096964,IHF,glnHPQ
rdmglu,848088,848100,3.019469,IHF,glnHPQ
min,848118,848134,-0.144261,NtrC,glnHPQ
lexa,848118,848134,2.033205,NtrC,glnHPQ
purr,848118,848134,2.610722,NtrC,glnHPQ
stat,848118,848134,1.154878,NtrC,glnHPQ
argr,848118,848134,0.822561,NtrC,glnHPQ
rdmglu,848118,848134,2.374929,NtrC,glnHPQ
min,848193,848205,-0.578013,IHF,glnHPQ
lexa,848193,848205,1.102693,IHF,glnHPQ
purr,848193,848205,-1.557155,IHF,glnHPQ
stat,848193,848205,2.278881,IHF,glnHPQ
argr,848193,848205,-1.098874,IHF,glnHPQ
rdmglu,848193,848205,-0.185854,IHF,glnHPQ
min,848943,848952,2.693578,H-NS,dps
lexa,848943,848952,0.139671,H-NS,dps
purr,848943,848952,0.35219,H-NS,dps
stat,848943,848952,0.842941,H-NS,dps
argr,848943,848952,2.565303,H-NS,dps
rdmglu,848943,848952,0.436855,H-NS,dps
min,848953,848967,2.106944,Fis,dps
lexa,848953,848967,-0.304555,Fis,dps
purr,848953,848967,-0.219014,Fis,dps
stat,848953,848967,0.461221,Fis,dps
argr,848953,848967,2.629657,Fis,dps
rdmglu,848953,848967,-0.092322,Fis,dps
min,848957,848978,1.954131,MntR,dps
lexa,848957,848978,-0.392074,MntR,dps
purr,848957,848978,-0.285081,MntR,dps
stat,848957,848978,0.294111,MntR,dps
argr,848957,848978,2.629657,MntR,dps
rdmglu,848957,848978,-0.242857,MntR,dps
min,848986,849002,1.578038,OxyR,dps
lexa,848986,849002,1.459218,OxyR,dps
