Gene name,Gene ID ,Functional description ,Fold change
arsR ,b3501 ,transcriptional repressor of chromosomal ars operon ,2.07
betI ,b0313 ,probably transcriptional repressor of bet genes ,3.42
bglG ,b3723 ,positive regulation of bgl operon ,2.29
dsdC ,b2364 ,D-serine dehydratase (deaminase) transcriptional activator ,2.39
envR ,b3264 ,DNA-binding transcriptional regulator ,2.29
fhlA ,b2731 ,"formate hydrogen-lyase transcriptional activator for fdhF, hyc and hyp",2.05
fliA ,b1922 ,flagellar biosynthesis; alternative sigma factor 28; regulation of flagellar,3.25
frvR ,b3897 ,putative frv operon regulatory protein ,2.64
gatR ,b2087 ,"split galactitol utilization operon repressor, interrupted ",2.41
htgA ,b0012 ,positive regulator for sigma 32 heat shock promoters ,2.42
hyfR ,b2491 ,"DNA-binding transcriptional activator, formate sensing ",2.4
lysR ,b2839 ,positive regulator for lys ,2.04
rcsA ,b1951 ,"positive regulator for ctr capsule biosynthesis, positive transcription factor ",3.46
rhmR ,b2248 ,putative regulator ,2.39
rtcR ,b3422 ,sigma54-dependent regulator of rtcBA expression ,2.08
ybeF ,b0629 ,putative transcriptional regulator LYSR-type ,2.37
ybhD ,b0768 ,putative transcriptional regulator LYSR-type ,2.36
ybiH ,b0796 ,putative transcriptional regulator ,2.29
ycgW ,b1160 ,"Rpos stabilzer during Mg starvation, anti-RssB factor ",3.8
ygeK ,b2855 ,putative 2-component transcriptional regulator ,2.22
yidP ,b3684 ,putative transcriptional regulator ,2.32
lysU ,b4129 ,"lysine tRNA synthetase, inducible; heat shock protein ",2
prfH ,b0236 ,probable peptide chain release factor ,2.35
micF ,b4439 ,antisense regulator of the translation of OmpF porin,3.16
